Time rank,Op,Compute utilization % (=100%*(ops/time)/(peak GOps/sec)),Bandwidth utilization % (=100%*(num_bytes/time)/(peak GB/sec)),Time for 1 occ (ns),Analytical memory time (ns; for peak GB/sec bandwidth),Num ops per 1 occ (MAC=2ops),Achieved GOps/sec,Num bytes (if 32b data),Achieved bandwidth GB/sec,Op config,Device,GPU time for 1 occ,CPU time for 1 occ,Time for 1 occ,Occurence,GPU time for all occ,CPU time for all occ,Time for all occ,GPU time for all occ (as % of GPU batch time),CPU time for all occ (as % of CPU batch time),Time for all occ (as % of batch time),Cumulative GPU time (as % of GPU batch time),Cumulative CPU time (as % of CPU batch time),Cumulative time (as % of batch time),GPU GOps computed,CPU GOps computed,Total GOps computed,GPU op memory for all occ (% total for GPU),CPU op memory for all occ (% total for CPU),Op memory for all occ (% total),Cumulative GPU op memory (%),Cumulative CPU op memory (%),Cumulative total op memory (%),GPU bytes,CPU bytes,Total bytes,Potential optimization score from bandwidth underutilization,Potential optimization score from compute underutilization,Overall potential optimization score (=duration*min(compute bandwidth underutilization)),Layer in TensorFlow model,intra op gap ((all end-all start)-(op end-op start) ns),skewness,kurtosis,unbiased std,mean,mean-std,mean+std,25th percentile,50th percentile,75th percentile,measured op time (ns),1st batch all start,1st batch op start,1st batch op end,1st batch all end,batch2 all start; batch2 op start; batch2 op end; batch2 all end; batch 3 all start etc.
1,Conv2D,148.605,4.406,9048394.737,398677.333,57415827456,6345.416,71761920,7.931, 0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,9048394.737,0.000,9048394.737,1.00,9048394.736842105,0.0,9048394.736842105,6.344880,0.000000,6.343360,6.344880,0.000000,6.343360,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,78.221224,0.000000,78.221223,71761920.000000,0,71761920.000000,5.746703,0.000000,0.000000,tower_0/v/cg/conv3/conv2d/Conv2D,0,0.09394908235312342,2.8441546370483697,284151,9055905,8771754,9340056,8875250.0,9118000.0,9235000.0,9163000;8732000;8754000;9573000;8921000;8937000;9185000;9159000;9031000;8828000,38454552,38454552,47696552,47696552,587744552;587744552;596557552;596557552;961883552;961883552;970717552;970717552;1386402552;1386402552;1396058552;1396058552;1758533552;1758533552;1767532552;1767532552;2132053552;2132053552;2141070552;2141070552;2505166552;2505166552;2514639552;2514639552;2878723552;2878723552;2887961552;2887961552;3248907552;3248907552;3258021552;3258021552;3623314552;3623314552;3632221552;3632221552;3994352552;3994352552;4003110552;4003110552;4369771552;4369771552;4379261552;4379261552;4748854552;4748854552;4758063552;4758063552;5125378552;5125378552;5134420552;5134420552;5504316552;5504316552;5513161552;5513161552;5879069552;5879069552;5888396552;5888396552;6258307552;6258307552;6268000552;6268000552;6634249552;6634249552;6643236552;6643236552;7064885552;7064885552;7073606552;7073606552;7436897552;7436897552;7446114552;7446114552
2,Conv2DBackpropInput,159.470,4.728,8431894.737,398677.422,57415827456,6809.362,71761936,8.511, 0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,8431894.737,0.000,8431894.737,1.00,8431894.736842105,0.0,8431894.736842105,5.912580,0.000000,5.911164,12.257460,0.000000,12.254523,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,76.566818,0.000000,76.566818,71761936.000000,0,71761936.000000,5.336126,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,0,0.23204368101896802,2.965603199984044,135692,8434476,8298784,8570168,8346250.0,8431500.0,8502000.0,8451000;8545000;8429000;8423000;8725000;8508000;8409000;8486000;8584000;8416000,100114552,100114552,108628552,108628552,648455552;648455552;657068552;657068552;1022142552;1022142552;1030633552;1030633552;1448850552;1448850552;1457339552;1457339552;1819722552;1819722552;1828509552;1828509552;2193173552;2193173552;2201747552;2201747552;2567243552;2567243552;2575727552;2575727552;2940636552;2940636552;2949186552;2949186552;3310810552;3310810552;3319458552;3319458552;3683801552;3683801552;3692286552;3692286552;4055064552;4055064552;4063609552;4063609552;4431702552;4431702552;4440132552;4440132552;4810267552;4810267552;4818671552;4818671552;5187782552;5187782552;5196319552;5196319552;5564745552;5564745552;5573216552;5573216552;5940322552;5940322552;5948780552;5948780552;6320588552;6320588552;6328999552;6328999552;6695272552;6695272552;6703780552;6703780552;7125343552;7125343552;7133760552;7133760552;7499147552;7499147552;7507511552;7507511552
3,Conv2DBackpropFilter,162.750,4.825,8261947.368,398677.422,57415827456,6949.430,71761936,8.686, 0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,8261947.368,0.000,8261947.368,1.00,8261947.368421053,0.0,8261947.368421053,5.793410,0.000000,5.792022,18.050870,0.000000,18.046545,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,77.394021,0.000000,77.394021,71761936.000000,0,71761936.000000,5.222956,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,0,0.9897461020985493,4.778744641090918,184202,8273357,8089155,8457559,8157500.0,8246500.0,8370000.0,8468000;8358000;8219000;8215000;8522000;8341000;8211000;8285000;8391000;8206000,109016552,109016552,117537552,117537552,657463552;657463552;665880552;665880552;1031018552;1031018552;1039288552;1039288552;1457724552;1457724552;1465993552;1465993552;1828910552;1828910552;1837484552;1837484552;2202141552;2202141552;2210534552;2210534552;2576115552;2576115552;2584379552;2584379552;2949582552;2949582552;2957918552;2957918552;3319849552;3319849552;3328292552;3328292552;3692675552;3692675552;3700935552;3700935552;4063995552;4063995552;4072331552;4072331552;4440510552;4440510552;4448832552;4448832552;4819053552;4819053552;4827261552;4827261552;5196706552;5196706552;5205041552;5205041552;5573605552;5573605552;5581872552;5581872552;5949169552;5949169552;5957333552;5957333552;6329388552;6329388552;6337605552;6337605552;6704178552;6704178552;6712701552;6712701552;7134143552;7134143552;7142460552;7142460552;7507889552;7507889552;7516051552;7516051552
4,Conv2DBackpropFilter,65.427,14.453,6856000.000,990914.933,19153947648,2793.750,178364688,26.016, 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,6856000.000,0.000,6856000.000,1.00,6856000.0,0.0,6856000.0,4.807537,0.000000,4.806386,22.858408,0.000000,22.852931,19153947648.000000,0,19153947648.000000,2.056017,0.000000,2.056017,44.101709,0.000000,44.101709,178364688.000000,0,178364688.000000,3.871399,1.421392,1.421392,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,0,0.9589930824690368,4.4900485080189485,171698,6866214,6694516,7037912,6744000.0,6867500.0,6943250.0,6941000;6990000;6878000;6869000;7174000;7007000;6783000;6944000;7038000;6866000,146991552,146991552,153992552,153992552,695474552;695474552;702528552;702528552;1068521552;1068521552;1075463552;1075463552;1495237552;1495237552;1502168552;1502168552;1867685552;1867685552;1874922552;1874922552;2240195552;2240195552;2247263552;2247263552;2613488552;2613488552;2620333552;2620333552;2987380552;2987380552;2994388552;2994388552;3358008552;3358008552;3365107552;3365107552;3730200552;3730200552;3737125552;3737125552;4101626552;4101626552;4108435552;4108435552;4478538552;4478538552;4485337552;4485337552;4856377552;4856377552;4863313552;4863313552;5234441552;5234441552;5241434552;5241434552;5611133552;5611133552;5618025552;5618025552;5986237552;5986237552;5993056552;5993056552;6366660552;6366660552;6373528552;6373528552;6743620552;6743620552;6750551552;6750551552;7171358552;7171358552;7178173552;7178173552;7544939552;7544939552;7551744552;7551744552
5,Conv2DBackpropInput,148.640,5.427,6030842.105,327316.000,38277218304,6346.911,58916880,9.769, 0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,6030842.105,0.000,6030842.105,1.00,6030842.105263158,0.0,6030842.105263158,4.228923,0.000000,4.227910,27.087331,0.000000,27.080841,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,86.795846,0.000000,86.795846,58916880.000000,0,58916880.000000,3.787066,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,0,1.149618551636002,5.6895747277829845,98781,6036905,5938124,6135685,5962500.0,6023000.0,6086500.0,6081000;6063000;5996000;6020000;6210000;6096000;6010000;6053000;6123000;5995000,87119552,87119552,93279552,93279552,635449552;635449552;641585552;641585552;1009293552;1009293552;1015364552;1015364552;1435971552;1435971552;1442066552;1442066552;1806428552;1806428552;1812712552;1812712552;2180140552;2180140552;2186308552;2186308552;2554340552;2554340552;2560436552;2560436552;2927688552;2927688552;2933814552;2933814552;3297704552;3297704552;3303900552;3303900552;3670959552;3670959552;3677025552;3677025552;4042093552;4042093552;4048241552;4048241552;4418830552;4418830552;4424922552;4424922552;4797516552;4797516552;4803553552;4803553552;5174844552;5174844552;5180956552;5180956552;5551898552;5551898552;5557965552;5557965552;5927471552;5927471552;5933548552;5933548552;6307819552;6307819552;6313860552;6313860552;6682127552;6682127552;6688224552;6688224552;7112312552;7112312552;7118478552;7118478552;7486466552;7486466552;7492478552;7492478552
6,Conv2D,153.382,5.601,5844368.421,327315.911,38277218304,6549.419,58916864,10.081, 0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5844368.421,0.000,5844368.421,1.00,5844368.421052632,0.0,5844368.421052632,4.098165,0.000000,4.097183,31.185496,0.000000,31.178024,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,88.154121,0.000000,88.154120,58916864.000000,0,58916864.000000,3.662841,0.000000,0.000000,tower_0/v/cg/conv4/conv2d/Conv2D,0,1.240799320629062,5.289698368867141,174353,5859119,5684766,6033472,5730500.0,5851500.0,5950000.0,5988000;5726000;5748000;6027000;5684000;5855000;5951000;5994000;5959000;5784000,48552552,48552552,54613552,54613552,597386552;597386552;603185552;603185552;971543552;971543552;977364552;977364552;1396920552;1396920552;1403023552;1403023552;1768353552;1768353552;1774107552;1774107552;2141913552;2141913552;2147837552;2147837552;2515488552;2515488552;2521513552;2521513552;2888813552;2888813552;2894878552;2894878552;3259113552;3259113552;3265144552;3265144552;3633052552;3633052552;3638907552;3638907552;4003929552;4003929552;4009947552;4009947552;4380115552;4380115552;4386148552;4386148552;4758918552;4758918552;4764926552;4764926552;5135259552;5135259552;5141028552;5141028552;5513992552;5513992552;5519786552;5519786552;5889233552;5889233552;5895160552;5895160552;6268870552;6268870552;6275195552;6275195552;6644076552;6644076552;6649814552;6649814552;7074421552;7074421552;7080180552;7080180552;7446971552;7446971552;7452997552;7452997552
7,Conv2DBackpropFilter,155.580,5.681,5761789.474,327316.000,38277218304,6643.287,58916880,10.225, 0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5761789.474,0.000,5761789.474,1.00,5761789.47368421,0.0,5761789.47368421,4.040259,0.000000,4.039291,35.225756,0.000000,35.217316,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,87.474984,0.000000,87.474983,58916880.000000,0,58916880.000000,3.607855,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,0,0.8440664773254499,3.5874611885809853,103739,5767119,5663380,5870858,5686250.0,5752500.0,5808750.0,5774000;5817000;5738000;5743000;5934000;5809000;5743000;5770000;5848000;5738000,93586552,93586552,99417552,99417552,641886552;641886552;647758552;647758552;1015660552;1015660552;1021453552;1021453552;1442363552;1442363552;1448161552;1448161552;1813017552;1813017552;1819008552;1819008552;2186609552;2186609552;2192474552;2192474552;2560746552;2560746552;2566550552;2566550552;2934115552;2934115552;2939940552;2939940552;3304202552;3304202552;3310106552;3310106552;3677318552;3677318552;3683112552;3683112552;4048536552;4048536552;4054369552;4054369552;4425217552;4425217552;4431015552;4431015552;4803843552;4803843552;4809585552;4809585552;5181255552;5181255552;5187086552;5187086552;5558261552;5558261552;5564047552;5564047552;5933849552;5933849552;5939635552;5939635552;6314159552;6314159552;6319903552;6319903552;6688529552;6688529552;6694569552;6694569552;7118776552;7118776552;7124638552;7124638552;7492768552;7492768552;7498467552;7498467552
8,Conv2D,73.871,17.373,5703631.579,990914.844,17990860800,3154.282,178364672,31.272, 0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,5703631.579,0.000,5703631.579,1.00,5703631.578947368,0.0,5703631.578947368,3.999478,0.000000,3.998520,39.225234,0.000000,39.215836,17990860800.000000,0,17990860800.000000,2.056017,0.000000,2.056017,46.157726,0.000000,46.157726,178364672.000000,0,178364672.000000,3.103931,0.844847,0.844847,tower_0/v/cg/conv0/conv2d/Conv2D,0,0.5046025020097407,2.7377224416169286,292095,5712833,5420738,6004928,5497000.0,5674000.0,5849000.0,5865000;5484000;5482000;6236000;5545000;6364000;5829000;5858000;5118000;5855000,12975552,12975552,18902552,18902552,565645552;565645552;571189552;571189552;937253552;937253552;942797552;942797552;1360009552;1360009552;1366308552;1366308552;1734802552;1734802552;1740408552;1740408552;2108689552;2108689552;2115116552;2115116552;2480381552;2480381552;2486298552;2486298552;2853537552;2853537552;2859467552;2859467552;3225655552;3225655552;3230835552;3230835552;3598916552;3598916552;3604835552;3604835552;3970469552;3970469552;3976218552;3976218552;4344872552;4344872552;4350766552;4350766552;4723558552;4723558552;4729734552;4729734552;5101589552;5101589552;5107029552;5107029552;5479939552;5479939552;5485773552;5485773552;5854609552;5854609552;5860354552;5860354552;6232950552;6232950552;6239128552;6239128552;6610691552;6610691552;6616099552;6616099552;7040784552;7040784552;7046505552;7046505552;7411389552;7411389552;7417556552;7417556552
9,Conv2DBackpropFilter,122.802,5.327,5474789.474,291635.289,28707913728,5243.656,52494352,9.588, 0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5474789.474,0.000,5474789.474,1.00,5474789.47368421,0.0,5474789.47368421,3.839010,0.000000,3.838091,43.064244,0.000000,43.053926,28707913728.000000,0,28707913728.000000,0.605105,0.000000,0.605105,88.759225,0.000000,88.759225,52494352.000000,0,52494352.000000,3.441731,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,0,1.1279179575834641,4.839686350759748,143499,5486333,5342834,5629833,5395500.0,5470500.0,5550500.0,5507000;5552000;5469000;5469000;5656000;5554000;5413000;5506000;5574000;5470000,123835552,123835552,129396552,129396552,672196552;672196552;677800552;677800552;1045492552;1045492552;1051016552;1051016552;1472234552;1472234552;1477755552;1477755552;1843881552;1843881552;1849589552;1849589552;2216852552;2216852552;2222458552;2222458552;2590599552;2590599552;2596063552;2596063552;2964190552;2964190552;2969753552;2969753552;3334613552;3334613552;3340240552;3340240552;3707173552;3707173552;3712695552;3712695552;4078565552;4078565552;4084121552;4084121552;4455717552;4455717552;4461184552;4461184552;4833424552;4833424552;4838897552;4838897552;5211282552;5211282552;5216842552;5216842552;5588093552;5588093552;5593617552;5593617552;5963489552;5963489552;5968928552;5968928552;6343799552;6343799552;6349273552;6349273552;6718948552;6718948552;6725194552;6725194552;7148619552;7148619552;7154055552;7154055552;7522204552;7522204552;7527639552;7527639552
10,Conv2D,249.612,9.996,5378921.053,537668.267,57330892800,10658.437,96780288,17.993, 0:(128x64x27x27) 1:(5x5x64x192)->(128x192x27x27) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5378921.053,0.000,5378921.053,1.00,5378921.052631579,0.0,5378921.052631579,3.771786,0.000000,3.770882,46.836030,0.000000,46.824808,57330892800.000000,0,57330892800.000000,1.115590,0.000000,1.115590,74.722043,0.000000,74.722042,96780288.000000,0,96780288.000000,3.205401,0.000000,0.000000,tower_0/v/cg/conv1/conv2d/Conv2D,0,-1.0661543892357233,3.3619371871449073,386905,5365095,4978191,5752000,5339250.0,5497000.0,5579750.0,4689000;4502000;5432000;5581000;5497000;4629000;5529000;5561000;5261000;5533000,25085552,25085552,29877552,29877552,574985552;574985552;579573552;579573552;946849552;946849552;952369552;952369552;1370770552;1370770552;1376708552;1376708552;1744149552;1744149552;1749735552;1749735552;2118959552;2118959552;2123679552;2123679552;2490509552;2490509552;2496132552;2496132552;2863647552;2863647552;2869299552;2869299552;3234748552;3234748552;3240094552;3240094552;3608639552;3608639552;3614260552;3614260552;3979988552;3979988552;3985566552;3985566552;4354657552;4354657552;4360644552;4360644552;4733655552;4733655552;4739486552;4739486552;5110794552;5110794552;5115366552;5115366552;5489591552;5489591552;5495182552;5495182552;5864174552;5864174552;5870108552;5870108552;6243040552;6243040552;6248867552;6248867552;6619862552;6619862552;6625436552;6625436552;7050273552;7050273552;7055283552;7055283552;7421501552;7421501552;7427715552;7427715552
