Time rank,Op,Compute utilization % (=100%*(ops/time)/(peak GOps/sec)),Bandwidth utilization % (=100%*(num_bytes/time)/(peak GB/sec)),Time for 1 occ (ns),Analytical memory time (ns; for peak GB/sec bandwidth),Num ops per 1 occ (MAC=2ops),Achieved GOps/sec,Num bytes (if 32b data),Achieved bandwidth GB/sec,Op config,Device,GPU time for 1 occ,CPU time for 1 occ,Time for 1 occ,Occurence,GPU time for all occ,CPU time for all occ,Time for all occ,GPU time for all occ (as % of GPU batch time),CPU time for all occ (as % of CPU batch time),Time for all occ (as % of batch time),Cumulative GPU time (as % of GPU batch time),Cumulative CPU time (as % of CPU batch time),Cumulative time (as % of batch time),GPU GOps computed,CPU GOps computed,Total GOps computed,GPU op memory for all occ (% total for GPU),CPU op memory for all occ (% total for CPU),Op memory for all occ (% total),Cumulative GPU op memory (%),Cumulative CPU op memory (%),Cumulative total op memory (%),GPU bytes,CPU bytes,Total bytes,Potential optimization score from bandwidth underutilization,Potential optimization score from compute underutilization,Overall potential optimization score (=duration*min(compute bandwidth underutilization)),Layer in TensorFlow model,intra op gap ((all end-all start)-(op end-op start) ns),skewness,kurtosis,unbiased std,mean,mean-std,mean+std,25th percentile,50th percentile,75th percentile,measured op time (ns),1st batch all start,1st batch op start,1st batch op end,1st batch all end,batch2 all start; batch2 op start; batch2 op end; batch2 all end; batch 3 all start etc.
1,Conv2D,160.713,4.765,8366684.211,398677.333,57415827456,6862.435,71761920,8.577, 0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,8366684.211,0.000,8366684.211,1.00,8366684.2105263155,0.0,8366684.2105263155,5.713353,0.000000,5.712146,5.713353,0.000000,5.712146,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,78.221223,0.000000,78.221223,71761920.000000,0,71761920.000000,5.154355,0.000000,0.000000,tower_0/v/cg/conv3/conv2d/Conv2D,4000,1.134554287568327,4.00735061929131,390690,8394024,8003334,8784714,8165500.0,8268500.0,8567250.0,8439000;8483000;8230000;8009000;7905000;8718000;8575000;8278000;7995000;8358000,37433288,37433288,45872288,45876288,558203288;558203288;566686288;566690288;919683288;919683288;927913288;927916288;1277614288;1277614288;1285623288;1285626288;1685002288;1685002288;1692907288;1692910288;2042057288;2042057288;2050775288;2050778288;2399953288;2399953288;2408528288;2408532288;2758521288;2758521288;2766799288;2766802288;3115522288;3115522288;3123517288;3123520288;3472377288;3472377288;3480735288;3480739288;3829532288;3829532288;3837694288;3837698288;4198327288;4198327288;4206557288;4206560288;4551683288;4551683288;4560196288;4560200288;4908853288;4908853288;4917464288;4917467288;5266864288;5266865288;5275357288;5275361288;5619439288;5619439288;5627586288;5627589288;5984129288;5984129288;5992454288;5992458288;6337625288;6337625288;6345818288;6345821288;6694531288;6694532288;6702804288;6702808288;7048737288;7048737288;7056957288;7056961288
2,Conv2DBackpropInput,162.131,4.807,8293473.684,398677.422,57415827456,6923.013,71761936,8.653, 0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,8293473.684,0.000,8293473.684,1.00,8293473.684210526,0.0,8293473.684210526,5.663360,0.000000,5.662163,11.376712,0.000000,11.374309,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,76.566818,0.000000,76.566818,71761936.000000,0,71761936.000000,5.106875,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,4000,1.567549649682656,5.2450610227436005,284559,8322476,8037917,8607036,8143000.0,8248000.0,8352750.0,8077000;8253000;8346000;8182000;8255000;8283000;8240000;8293000;8210000;8137000,96758288,96758288,104835288,104839288,617825288;617825288;626078288;626082288;977751288;977751288;986097288;986101288;1335074288;1335074288;1343256288;1343260288;1742628288;1742629288;1750884288;1750888288;2101638288;2101638288;2109921288;2109925288;2458797288;2458798288;2467038288;2467044288;2817233288;2817233288;2825526288;2825530288;3173349288;3173349288;3181559288;3181564288;3530397288;3530397288;3538534288;3538538288;3887114288;3887115288;3895374288;3895379288;4255786288;4255787288;4263948288;4263952288;4610368288;4610369288;4618591288;4618595288;4967682288;4967683288;4975758288;4975761288;5324952288;5324952288;5332945288;5332950288;5676978288;5676979288;5685291288;5685295288;6041746288;6041746288;6049867288;6049873288;6395599288;6395599288;6403910288;6403914288;6752090288;6752090288;6760147288;6760150288;7106114288;7106115288;7114179288;7114183288
3,Conv2DBackpropFilter,165.727,4.914,8113526.316,398677.422,57415827456,7076.557,71761936,8.845, 0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,8113526.316,0.000,8113526.316,1.00,8113526.315789474,0.0,8113526.315789474,5.540479,0.000000,5.539308,16.917191,0.000000,16.913617,57415827456.000000,0,57415827456.000000,0.827203,0.000000,0.827203,77.394021,0.000000,77.394021,71761936.000000,0,71761936.000000,4.990141,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,1.3849458726666017,3.7732726169448125,323360,8139881,7816521,8463241,7917250.0,8041500.0,8199000.0,7910000;8222000;8147000;8623000;8215000;7939000;8025000;8080000;7997000;7951000,105157288,105158288,113068288,113072288,626407288;626408288;634630288;634634288;986424288;986425288;994572288;994576288;1343578288;1343578288;1352201288;1352206288;1751209288;1751210288;1759425288;1759428288;2110248288;2110248288;2118187288;2118190288;2467372288;2467372288;2475397288;2475401288;2825854288;2825854288;2833934288;2833939288;3181883288;3181884288;3189881288;3189885288;3538853288;3538854288;3546805288;3546808288;3895705288;3895705288;3903765288;3903769288;4264266288;4264266288;4272210288;4272214288;4618909288;4618909288;4626876288;4626880288;4976067288;4976067288;4983970288;4983974288;5333257288;5333257288;5341061288;5341065288;5685618288;5685618288;5693747288;5693750288;6050188288;6050188288;6058067288;6058072288;6404236288;6404236288;6412382288;6412385288;6760462288;6760463288;6768505288;6768508288;7114495288;7114495288;7122351288;7122357288
4,Conv2DBackpropFilter,66.421,14.673,6753421.053,990914.933,19153947648,2836.184,178364688,26.411, 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,6753421.053,0.000,6753421.053,1.00,6753421.052631579,0.0,6753421.052631579,4.611705,0.000000,4.610730,21.528896,0.000000,21.524347,19153947648.000000,0,19153947648.000000,2.056017,0.000000,2.056017,44.101709,0.000000,44.101709,178364688.000000,0,178364688.000000,3.703661,1.317701,1.317701,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,6000,1.4077146403136065,4.014399760119652,302599,6780976,6478377,7083575,6550500.0,6673000.0,6814250.0,7119000;6709000;6807000;6649000;6711000;6539000;6706000;6812000;6939000;6600000,140864288,140864288,147983288,147989288,662738288;662738288;669447288;669451288;1022899288;1022899288;1029706288;1029711288;1380433288;1380433288;1387082288;1387086288;1787453288;1787453288;1794164288;1794168288;2145723288;2145724288;2152263288;2152267288;2503528288;2503528288;2510234288;2510240288;2862179288;2862180288;2868992288;2868997288;3218406288;3218407288;3225346288;3225351288;3574519288;3574520288;3581120288;3581125288;3931825288;3931825288;3938534288;3938539288;4299939288;4299940288;4306480288;4306484288;4654563288;4654563288;4661163288;4661168288;5012835288;5012835288;5019301288;5019306288;5368524288;5368524288;5375186288;5375191288;5722083288;5722084288;5728891288;5728895288;6085650288;6085651288;6092200288;6092205288;6440710288;6440711288;6447511288;6447516288;6796074288;6796074288;6802623288;6802627288;7150037288;7150037288;7156578288;7156582288
5,Conv2DBackpropInput,150.185,5.484,5968789.474,327316.000,38277218304,6412.895,58916880,9.871, 0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5968789.474,0.000,5968789.474,1.00,5968789.47368421,0.0,5968789.47368421,4.075904,0.000000,4.075043,25.604800,0.000000,25.599390,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,86.795846,0.000000,86.795846,58916880.000000,0,58916880.000000,3.647815,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,6000,1.6272468637061197,4.514983711233338,254201,5992548,5738347,6246749,5845500.0,5917000.0,5989750.0,5935000;5930000;5994000;5898000;5916000;5919000;5925000;5918000;5881000;5861000,84342288,84343288,90278288,90283288,605394288;605395288;611325288;611330288;965189288;965190288;971184288;971188288;1322715288;1322715288;1328613288;1328618288;1730232288;1730233288;1736149288;1736154288;2089233288;2089233288;2095152288;2095157288;2446398288;2446400288;2452325288;2452331288;2804788288;2804789288;2810707288;2810715288;3161010288;3161011288;3166892288;3166896288;3518134288;3518134288;3523995288;3523999288;3874703288;3874704288;3880623288;3880628288;4243515288;4243515288;4249377288;4249381288;4598043288;4598043288;4603925288;4603929288;4955425288;4955426288;4961269288;4961274288;5312906288;5312907288;5318656288;5318661288;5664442288;5664443288;5670420288;5670424288;6029602288;6029602288;6035381288;6035387288;6383056288;6383057288;6389028288;6389032288;6739947288;6739948288;6745734288;6745739288;7093964288;7093964288;7099755288;7099760288
6,Conv2D,152.778,5.578,5867473.684,327315.911,38277218304,6523.628,58916864,10.041, 0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5867473.684,0.000,5867473.684,1.00,5867473.684210527,0.0,5867473.684210527,4.006718,0.000000,4.005872,29.611518,0.000000,29.605262,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,88.154121,0.000000,88.154120,58916864.000000,0,58916864.000000,3.582131,0.000000,0.000000,tower_0/v/cg/conv4/conv2d/Conv2D,4000,1.3889855186410365,4.404441907291443,319200,5896381,5577181,6215581,5644250.0,5827000.0,6007750.0,5943000;6015000;5613000;5641000;5966000;5949000;5832000;5860000;5986000;5658000,46674288,46674288,52617288,52621288,567490288;567490288;573505288;573508288;928679288;928679288;934292288;934295288;1286391288;1286392288;1292033288;1292036288;1693679288;1693679288;1699645288;1699648288;2051575288;2051575288;2057524288;2057527288;2409321288;2409321288;2415153288;2415156288;2767598288;2767599288;2773459288;2773463288;3124296288;3124296288;3130282288;3130288288;3481518288;3481518288;3487176288;3487180288;3838475288;3838475288;3844095288;3844098288;4207335288;4207335288;4212955288;4212958288;4560982288;4560982288;4566807288;4566810288;4918248288;4918249288;4924093288;4924095288;5276136288;5276136288;5281926288;5281929288;5628364288;5628365288;5633987288;5633990288;5993224288;5993224288;5998878288;5998881288;6346588288;6346588288;6352164288;6352167288;6703580288;6703580288;6709220288;6709223288;7057722288;7057722288;7063380288;7063385288
7,Conv2D,71.903,16.911,5859684.211,990914.844,17990860800,3070.278,178364672,30.439, 0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,GPU-0,5859684.211,0.000,5859684.211,1.00,5859684.2105263155,0.0,5859684.2105263155,4.001399,0.000000,4.000554,33.612917,0.000000,33.605816,17990860800.000000,0,17990860800.000000,2.056017,0.000000,2.056017,46.157726,0.000000,46.157726,178364672.000000,0,178364672.000000,3.123992,0.924008,0.924008,tower_0/v/cg/conv0/conv2d/Conv2D,4000,0.5013568447696212,3.1077246365679456,327191,5870881,5543690,6198072,5641250.0,5823000.0,6073000.0,5799000;5894000;5617000;5846000;5741000;6703000;6109000;6110000;5791000;5670000,11900288,11900288,17699288,17703288,532916288;532917288;538811288;538817288;895918288;895918288;901535288;901539288;1253449288;1253449288;1259295288;1259299288;1661374288;1661374288;1667115288;1667120288;2016635288;2016636288;2023339288;2023345288;2375563288;2375563288;2381672288;2381679288;2733822288;2733822288;2739932288;2739937288;3091866288;3091866288;3097657288;3097662288;3449006288;3449006288;3454676288;3454681288;3806699288;3806699288;3811934288;3811938288;4174699288;4174699288;4180499288;4180504288;4527204288;4527204288;4533346288;4533350288;4884296288;4884296288;4890371288;4890375288;5242320288;5242320288;5248378288;5248382288;5595828288;5595828288;5601570288;5601575288;5960370288;5960370288;5966218288;5966223288;6314467288;6314467288;6320089288;6320095288;6670676288;6670676288;6676522288;6676526288;7024992288;7024992288;7030869288;7030875288
8,Conv2DBackpropFilter,158.314,5.781,5662315.789,327316.000,38277218304,6759.994,58916880,10.405, 0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5662315.789,0.000,5662315.789,1.00,5662315.7894736845,0.0,5662315.7894736845,3.866622,0.000000,3.865805,37.479540,0.000000,37.471621,38277218304.000000,0,38277218304.000000,0.679137,0.000000,0.679137,87.474983,0.000000,87.474983,58916880.000000,0,58916880.000000,3.449033,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,3000,1.7384818131472832,5.082063900486578,209416,5683071,5473656,5892487,5542000.0,5620000.0,5705500.0,5644000;5648000;5706000;5620000;5634000;5637000;5620000;5653000;5610000;5568000,90514288,90514288,96158288,96161288,611558288;611558288;617206288;617210288;971420288;971420288;977126288;977130288;1328843288;1328844288;1334464288;1334468288;1736380288;1736381288;1742015288;1742018288;2095385288;2095386288;2101023288;2101027288;2452563288;2452563288;2458183288;2458187288;2810959288;2810960288;2816613288;2816617288;3167121288;3167122288;3172732288;3172738288;3524222288;3524222288;3529790288;3529795288;3880854288;3880855288;3886499288;3886503288;4249603288;4249604288;4255180288;4255184288;4604152288;4604153288;4609760288;4609764288;4961496288;4961497288;4967076288;4967079288;5318879288;5318879288;5324360288;5324364288;5670652288;5670653288;5676357288;5676361288;6035611288;6035612288;6041146288;6041149288;6389261288;6389262288;6394974288;6394978288;6745960288;6745960288;6751490288;6751494288;7099980288;7099980288;7105511288;7105516288
9,Conv2DBackpropFilter,125.909,5.462,5339710.526,291635.289,28707913728,5376.305,52494352,9.831, 0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5339710.526,0.000,5339710.526,1.00,5339710.52631579,0.0,5339710.52631579,3.646325,0.000000,3.645555,41.125865,0.000000,41.117175,28707913728.000000,0,28707913728.000000,0.605105,0.000000,0.605105,88.759225,0.000000,88.759225,52494352.000000,0,52494352.000000,3.264157,0.000000,0.000000,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,4000,2.605063875069311,9.452891440432628,200126,5368048,5167922,5568173,5261000.0,5327500.0,5369500.0,5273000;5365000;5445000;5348000;5365000;5241000;5365000;5372000;5334000;5293000,118890288,118890288,124163288,124167288,640569288;640570288;645935288;645939288;1000555288;1000555288;1006000288;1006003288;1358387288;1358387288;1363735288;1363739288;1765331288;1765331288;1770696288;1770700288;2124009288;2124009288;2129250288;2129254288;2481319288;2481320288;2486685288;2486691288;2839866288;2839867288;2845239288;2845242288;3195780288;3195781288;3201115288;3201119288;3552647288;3552647288;3557940288;3557944288;3909717288;3909717288;3915085288;3915089288;4278060288;4278061288;4283353288;4283356288;4632759288;4632760288;4638095288;4638099288;4989775288;4989776288;4994987288;4994991288;5346847288;5346848288;5352082288;5352086288;5699733288;5699733288;5705170288;5705173288;6063885288;6063885288;6069143288;6069147288;6418376288;6418376288;6423812288;6423816288;6774346288;6774347288;6779596288;6779599288;7128270288;7128270288;7133530288;7133533288
10,Conv2D,125.962,5.464,5337473.684,291635.200,28707913728,5378.558,52494336,9.835, 0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,GPU-0,5337473.684,0.000,5337473.684,1.00,5337473.684210527,0.0,5337473.684210527,3.644798,0.000000,3.644027,44.770662,0.000000,44.761203,28707913728.000000,0,28707913728.000000,0.605104,0.000000,0.605104,89.969434,0.000000,89.969434,52494336.000000,0,52494336.000000,3.262716,0.000000,0.000000,tower_0/v/cg/conv2/conv2d/Conv2D,4000,-0.3350736874222681,2.2273717190267215,305111,5331738,5026627,5636849,5233750.0,5383500.0,5484750.0,5280000;4984000;5398000;5731000;5712000;5815000;4904000;5683000;5322000;5313000,31353288,31354288,36634288,36637288,552410288;552410288;557394288;557397288;913511288;913511288;918909288;918913288;1271094288;1271094288;1276825288;1276829288;1678513288;1678514288;1684226288;1684231288;2035436288;2035436288;2041251288;2041255288;2394266288;2394267288;2399171288;2399174288;2752047288;2752048288;2757731288;2757736288;3109421288;3109421288;3114743288;3114748288;3466256288;3466256288;3471569288;3471576288;3823474288;3823474288;3828767288;3828771288;4192179288;4192179288;4197558288;4197561288;4545471288;4545471288;4550900288;4550903288;4903153288;4903153288;4908061288;4908064288;5260692288;5260692288;5266080288;5266084288;5613430288;5613430288;5618663288;5618666288;5977951288;5977951288;5983358288;5983361288;6331495288;6331495288;6336862288;6336866288;6688394288;6688394288;6693768288;6693771288;7042704288;7042704288;7047957288;7047961288
